customer_id;age;gender;typical_size;city;club_member_status;registration_date
1;57;Unisex;40;Новосибирск;INACTIVE;2025-01-23
2;61;F;48;Казань;PREMIUM;2025-04-05
3;47;F;54;СПб;INACTIVE;2025-03-06
4;36;F;46;Новосибирск;INACTIVE;2025-01-15
5;62;F;54;Новосибирск;ACTIVE;2025-01-10
6;61;F;48;Москва;INACTIVE;2025-03-15
7;50;F;54;Нижний Новгород;INACTIVE;2025-01-06
8;54;F;48;Екатеринбург;ACTIVE;2025-01-31
9;58;F;42;СПб;PREMIUM;2025-03-04
10;57;M;56;Челябинск;ACTIVE;2025-01-12
11;21;F;54;СПб;ACTIVE;2025-02-05
12;19;F;54;Москва;INACTIVE;2025-03-03
13;52;F;54;Новосибирск;ACTIVE;2025-03-28
14;65;F;40;Москва;ACTIVE;2025-03-18
15;40;M;48;Екатеринбург;INACTIVE;2025-02-20
16;30;F;48;Екатеринбург;ACTIVE;2025-01-04
17;32;F;44;Екатеринбург;ACTIVE;2025-04-08
18;54;M;44;Челябинск;INACTIVE;2025-02-24
19;29;Unisex;52;Екатеринбург;ACTIVE;2025-02-06
20;54;F;42;СПб;INACTIVE;2025-04-03
21;69;F;46;Новосибирск;INACTIVE;2025-01-23
22;58;F;54;Нижний Новгород;ACTIVE;2025-03-18
23;40;F;50;Нижний Новгород;INACTIVE;2025-02-27
24;46;Unisex;48;Екатеринбург;ACTIVE;2025-02-11
25;69;M;48;Новосибирск;PREMIUM;2025-02-22
26;37;F;44;Нижний Новгород;INACTIVE;2025-02-23
27;67;F;48;Челябинск;ACTIVE;2025-03-20
28;35;F;46;Казань;ACTIVE;2025-01-07
29;38;F;40;Москва;ACTIVE;2025-03-11
30;35;F;56;Челябинск;INACTIVE;2025-02-12
31;54;F;40;СПб;ACTIVE;2025-02-03
32;59;M;42;Новосибирск;INACTIVE;2025-01-25
33;36;F;50;Новосибирск;ACTIVE;2025-03-08
34;67;F;54;Казань;ACTIVE;2025-01-25
35;67;M;54;Москва;ACTIVE;2025-02-24
36;31;F;54;Казань;INACTIVE;2025-03-29
37;62;Unisex;56;Екатеринбург;PREMIUM;2025-01-17
38;68;F;40;Казань;ACTIVE;2025-01-20
39;43;F;40;Нижний Новгород;INACTIVE;2025-03-20
40;50;M;42;Челябинск;PREMIUM;2025-02-07
41;51;M;44;Челябинск;ACTIVE;2025-02-21
42;29;Unisex;40;Екатеринбург;ACTIVE;2025-03-17
43;26;F;48;СПб;PREMIUM;2025-02-12
44;35;F;56;Челябинск;INACTIVE;2025-02-10
45;46;F;48;Новосибирск;PREMIUM;2025-01-23
46;62;F;42;Нижний Новгород;ACTIVE;2025-02-22
47;59;F;44;Новосибирск;ACTIVE;2025-03-15
48;29;F;44;Екатеринбург;INACTIVE;2025-03-06
49;33;F;40;Москва;ACTIVE;2025-02-01
50;32;M;56;СПб;INACTIVE;2025-03-04
51;29;F;54;Челябинск;ACTIVE;2025-01-17
52;67;F;46;Челябинск;INACTIVE;2025-02-20
53;29;F;40;Казань;PREMIUM;2025-01-26
54;21;F;54;СПб;ACTIVE;2025-03-31
55;60;F;44;Новосибирск;INACTIVE;2025-02-21
56;67;M;40;Нижний Новгород;INACTIVE;2025-01-13
57;18;F;50;Челябинск;ACTIVE;2025-04-09
58;57;F;50;Новосибирск;INACTIVE;2025-03-05
59;51;F;56;Екатеринбург;ACTIVE;2025-02-23
60;59;M;48;Екатеринбург;ACTIVE;2025-02-06
61;45;M;54;Екатеринбург;INACTIVE;2025-04-09
62;51;F;48;СПб;PREMIUM;2025-02-05
63;43;F;48;СПб;ACTIVE;2025-02-20
64;41;Unisex;56;Новосибирск;INACTIVE;2025-02-20
65;33;F;50;Челябинск;PREMIUM;2025-02-02
66;46;F;56;Новосибирск;ACTIVE;2025-02-11
67;30;F;50;Москва;PREMIUM;2025-03-05
68;60;M;44;Екатеринбург;PREMIUM;2025-02-26
69;42;F;44;Новосибирск;ACTIVE;2025-01-05
70;63;F;40;Челябинск;ACTIVE;2025-02-23
71;50;F;48;Москва;PREMIUM;2025-03-24
72;43;F;46;Челябинск;INACTIVE;2025-02-07
73;37;Unisex;40;Нижний Новгород;PREMIUM;2025-03-31
74;34;F;44;Екатеринбург;ACTIVE;2025-03-21
75;27;M;52;Нижний Новгород;ACTIVE;2025-02-09
76;36;M;54;СПб;ACTIVE;2025-02-12
77;58;F;40;Нижний Новгород;ACTIVE;2025-01-14
78;45;M;46;Новосибирск;ACTIVE;2025-01-04
79;50;M;54;СПб;ACTIVE;2025-01-05
80;52;F;52;Казань;INACTIVE;2025-01-27
81;64;F;40;Екатеринбург;ACTIVE;2025-03-22
82;27;M;44;Челябинск;ACTIVE;2025-02-22
83;43;F;54;СПб;ACTIVE;2025-04-09
84;59;F;54;Москва;ACTIVE;2025-01-10
85;68;F;46;СПб;INACTIVE;2025-02-18
86;41;F;52;СПб;PREMIUM;2025-02-02
87;42;M;54;Казань;ACTIVE;2025-03-28
88;52;F;54;Москва;ACTIVE;2025-03-24
89;47;M;54;Казань;INACTIVE;2025-03-03
90;53;F;56;Челябинск;ACTIVE;2025-01-15
91;64;M;40;Казань;PREMIUM;2025-02-17
92;31;F;46;Челябинск;ACTIVE;2025-01-08
93;19;F;50;Москва;ACTIVE;2025-02-15
94;59;F;44;Москва;ACTIVE;2025-01-22
95;20;Unisex;40;Екатеринбург;INACTIVE;2025-01-28
96;21;F;40;Новосибирск;ACTIVE;2025-01-29
97;37;F;40;Новосибирск;PREMIUM;2025-03-18
98;42;M;52;Екатеринбург;INACTIVE;2025-01-12
99;66;F;48;Нижний Новгород;INACTIVE;2025-03-27
100;19;F;40;Челябинск;ACTIVE;2025-03-16
101;68;F;54;Нижний Новгород;PREMIUM;2025-03-09
102;52;M;44;Челябинск;INACTIVE;2025-01-17
103;22;F;56;Екатеринбург;PREMIUM;2025-01-31
104;66;Unisex;42;Челябинск;ACTIVE;2025-01-26
105;55;F;46;Новосибирск;ACTIVE;2025-02-07
106;67;M;54;Нижний Новгород;ACTIVE;2025-03-30
107;37;M;48;Новосибирск;INACTIVE;2025-02-17
