model_id;revenue;total_margin;sales_count;product_type_name;colour_group_name;revenue_cumsum_pct;abc;cv;xyz;abc_xyz
Dress_Grey;10423766,0;5295852,0;1104;Dress;Grey;1,3393241114121266;A;23,065656768434113;X;AX
Jacket_Pink;10394696,0;5189846,0;1138;Jacket;Pink;2,6749130898676277;A;22,079507957740898;X;AX
Jacket_Yellow;9545884,0;4841370,0;1112;Jacket;Yellow;3,9014402975911358;A;22,152988017689598;X;AX
Sweater_White;9200645,0;4579601,0;1093;Sweater;White;5,083608593487592;A;21,60822498176527;X;AX
Sweater_Yellow;9187926,0;4606531,0;1304;Sweater;Yellow;6,264142656288923;A;19,979312007087806;X;AX
Skirt_Green;9048485,0;4495923,0;1056;Skirt;Green;7,426760287215303;A;25,939365176279722;Y;AY
Jacket_Brown;9019692,0;4431144,0;986;Jacket;Brown;8,585678376235247;A;23,63496642651443;X;AX
Trousers_Red;8899973,0;4400774,0;1212;Trousers;Red;9,729214064758658;A;20,476347073271764;X;AX
Shirt_Grey;8877576,0;4646127,0;997;Shirt;Grey;10,869872017718619;A;24,655667513285657;Y;AY
Jeans_Yellow;8825864,0;4447408,0;1045;Jeans;Yellow;12,003885622709777;A;22,40992235277945;X;AX
Skirt_Black;8702189,0;4265593,0;1187;Skirt;Black;13,12200853047319;A;24,872980067054336;Y;AY
Trousers_Black;8640633,0;4263041,0;1062;Trousers;Black;14,23222225886687;A;24,274434255678514;Y;AY
Jeans_Grey;8530583,0;4306461,0;1043;Jeans;Grey;15,328295932844432;A;21,666567611874523;X;AX
Shirt_Beige;8525271,0;4321517,0;1088;Shirt;Beige;16,423687080978663;A;22,564665820672282;X;AX
Jeans_Pink;8487855,0;4440792,0;1037;Jeans;Pink;17,51427073909896;A;26,870811812895685;Z;AZ
Sweater_Pink;8472612,0;4288419,0;997;Sweater;Pink;18,602895861558512;A;25,041903636786177;Y;AY
Trousers_Purple;8438641,0;4159571,0;1013;Trousers;Purple;19,687156133599437;A;28,214671790533842;Z;AZ
Dress_Black;8427755,0;4318819,0;1094;Dress;Black;20,7700176902167;A;23,30232547140226;X;AX
Dress_Brown;8312215,0;4212608,0;1136;Dress;Brown;21,83803379579136;A;20,457413150904983;X;AX
Jacket_Green;8225078,0;4268709,0;986;Jacket;Green;22,89485388208699;A;24,518032705062364;Y;AY
Trousers_Green;8174290,0;4039666,0;1126;Trousers;Green;23,945148342906144;A;21,4026443919393;X;AX
Coat_Grey;8107967,0;3902493,0;953;Coat;Grey;24,986921124224704;A;26,47360754458526;Z;AZ
Shirt_Green;8059108,0;4011358,0;927;Shirt;Green;26,022416132542652;A;24,874924078415063;Y;AY
