article_id;revenue;total_margin;sales_count;return_rate;product_type_name;colour_group_name;size;price;cost;current_stock;stock_value;return_rate_pct;margin_pct;turnover;revenue_cumsum;revenue_cumsum_pct;abc;cv;xyz;abc_xyz
962;507858,0;265030,0;34;0,7058823529411765;Jacket;Yellow;46;14937,0;7142,0;87;621354,0;70,58823529411765;52,18584722501171;0,38636363636363635;507858,0;0,06525342803872802;A;63,55317440318964;Z;AZ
2163;477428,0;235960,0;34;0,5294117647058824;Blouse;Beige;46;14042,0;7102,0;73;518446,0;52,94117647058824;49,423159094146136;0,4594594594594595;985286,0;0,12659698005853245;A;67,02222474392853;Z;AZ
3369;469392,0;191433,0;33;0,6666666666666666;Dress;Yellow;48;14224,0;8423,0;83;699109,0;66,66666666666666;40,78318335208099;0,39285714285714285;1454678,0;0,18690800616022746;A;56,17403460484769;Y;AY
687;464876,0;201438,0;31;0,41935483870967744;Sweater;White;46;14996,0;8498,0;73;620354,0;41,935483870967744;43,33155508135503;0,4189189189189189;1919554,0;0,24663878250505555;A;64,89624094455183;Z;AZ
2228;459318,0;221667,0;37;0,3783783783783784;Sweater;Purple;46;12414,0;6423,0;50;321150,0;37,83783783783784;48,26002899951668;0,7254901960784313;2378872,0;0,30565542507028537;A;54,37252619678667;Y;AY
3595;457033,0;220844,0;31;0,7419354838709677;Jacket;Pink;40;14743,0;7619,0;52;396188,0;74,19354838709677;48,321237197313984;0,5849056603773585;2835905,0;0,3643784735933449;A;41,946761398096704;Y;AY
2354;455111,0;236809,0;31;0,7741935483870968;Dress;Blue;48;14681,0;7042,0;71;499982,0;77,41935483870968;52,033240242490294;0,4305555555555556;3291016,0;0,42285456905336244;A;81,63034598528783;Z;AZ
4762;453902,0;263996,0;31;0,3870967741935484;Skirt;Brown;46;14642,0;6126,0;104;637104,0;38,70967741935484;58,16145335336702;0,29523809523809524;3744918,0;0,4811753230704986;A;68,96672417630025;Z;AZ
3081;443920,0;254138,0;31;0,3870967741935484;Shirt;Yellow;46;14320,0;6122,0;81;495882,0;38,70967741935484;57,24860335195531;0,3780487804878049;4188838,0;0,5382135144053838;A;41,94676139809671;Y;AY
2952;442890,0;212340,0;30;0,4666666666666667;Trousers;Purple;52;14763,0;7685,0;76;584060,0;46,666666666666664;47,94418478629005;0,38961038961038963;4631728,0;0,5951193635680873;A;67,14976477316141;Z;AZ
3980;442710,0;222030,0;30;0,6;Blouse;Yellow;48;14757,0;7356,0;102;750312,0;60,0;50,15247001423053;0,2912621359223301;5074438,0;0,6520020849725453;A;46,70993664969137;Y;AY
4212;439552,0;232256,0;32;0,40625;Sweater;Blue;50;13736,0;6478,0;53;343334,0;40,625;52,83925451368666;0,5925925925925926;5513990,0;0,7084790427073432;A;56,15522318457199;Y;AY
3241;439144,0;240074,0;34;0,47058823529411764;Trousers;Black;50;12916,0;5855,0;90;526950,0;47,05882352941176;54,66862805822236;0,37362637362637363;5953134,0;0,7649035775234516;A;55,97375019520652;Y;AY
3900;437880,0;219360,0;30;0,5333333333333333;Sweater;Brown;46;14596,0;7284,0;126;917784,0;53,333333333333336;50,09591668950397;0,23622047244094488;6391014,0;0,8211657040816592;A;57,83990443849769;Y;AY
2000;435333,0;208413,0;31;0,7096774193548387;Dress;Green;44;14043,0;7320,0;74;541680,0;70,96774193548387;47,87438581499679;0,41333333333333333;6826347,0;0,8771005728606951;A;60,55274670778178;Z;AZ
4886;430679,0;248472,0;29;0,6896551724137931;Jacket;Grey;54;14851,0;6283,0;125;785375,0;68,96551724137932;57,69308464076494;0,23015873015873015;7257026,0;0,9324374606015426;A;79,80627284077855;Z;AZ
1578;428155,0;215705,0;35;0,3142857142857143;Coat;Pink;48;12233,0;6070,0;32;194240,0;31,428571428571427;50,38011934930107;1,0606060606060606;7685181,0;0,9874500457767719;A;51,60144106371038;Y;AY
2772;427136,0;247776,0;32;0,375;Jeans;Blue;54;13348,0;5605,0;70;392350,0;37,5;58,00869044051543;0,4507042253521127;8112317,0;1,0423317021428231;A;60,53736637212365;Z;AZ
3409;424731,0;223634,0;31;0,3870967741935484;Skirt;White;46;13701,0;6487,0;56;363272,0;38,70967741935484;52,65309101525436;0,543859649122807;8537048,0;1,0969043459612076;A;60,55274670778179;Z;AZ
3328;424183,0;197664,0;29;0,4827586206896552;Jacket;Purple;44;14627,0;7811,0;58;453038,0;48,275862068965516;46,59875572571272;0,4915254237288136;8961231,0;1,1514065786044894;A;69,37184376831405;Z;AZ
2530;423510,0;204240,0;30;0,5333333333333333;Sweater;Black;46;14117,0;7309,0;68;497012,0;53,333333333333336;48,22554367075158;0,43478260869565216;9384741,0;1,2058223391294425;A;62,66795614405123;Z;AZ
4770;423488,0;208096,0;32;0,46875;Jacket;Brown;48;13234,0;6731,0;46;309626,0;46,875;49,13858243917183;0,6808510638297872;9808229,0;1,260235272928388;A;70,30776499208191;Z;AZ
4659;421225,0;248965,0;29;0,5517241379310345;Jeans;Yellow;40;14525,0;5940,0;111;659340,0;55,172413793103445;59,10499139414802;0,25892857142857145;10229454,0;1,314357439411171;A;62,27760128378841;Z;AZ
2994;417120,0;168366,0;33;0,48484848484848486;Jacket;Purple;52;12640,0;7538,0;46;346748,0;48,484848484848484;40,36392405063291;0,7021276595744681;10646574,0;1,367952164518414;A;53,99167924317712;Y;AY
4314;415802,0;241744,0;29;0,4827586206896552;Jeans;Pink;52;14338,0;6002,0;35;210070,0;48,275862068965516;58,13921048960804;0,8055555555555556;11062376,0;1,4213775430402829;A;51,314996249881894;Y;AY
2611;413588,0;187768,0;28;0,7857142857142857;Dress;Beige;46;14771,0;8065,0;96;774240,0;78,57142857142857;45,399769819240404;0,28865979381443296;11475964,0;1,4745184501357336;A;64,17739792522512;Z;AZ
