;customer_id;ltv;orders;total_margin;favorite_size;segment
0;1;12810,0;2;5319,0;46;Regular (2 заказа)
1;2;33845,0;4;16452,0;48;Loyal (3-4 заказа)
2;3;9735,0;1;5016,0;52;New (1 заказ)
3;5;25989,0;3;13758,0;48;Loyal (3-4 заказа)
4;6;10551,0;3;4507,0;44;Loyal (3-4 заказа)
5;7;19376,0;3;9633,0;48;Loyal (3-4 заказа)
6;8;8938,0;1;4102,0;50;New (1 заказ)
7;9;18197,0;2;10099,0;48;Regular (2 заказа)
8;10;32204,0;3;16747,0;50;Loyal (3-4 заказа)
9;11;14028,0;1;7186,0;42;New (1 заказ)
10;12;18708,0;2;9841,0;42;Regular (2 заказа)
11;13;13604,0;3;6754,0;54;Loyal (3-4 заказа)
12;14;29753,0;3;14798,0;48;Loyal (3-4 заказа)
13;15;11731,0;2;6409,0;48;Regular (2 заказа)
14;16;4958,0;2;2834,0;40;Regular (2 заказа)
15;17;5296,0;1;2383,0;44;New (1 заказ)
16;18;4102,0;2;1939,0;48;Regular (2 заказа)
17;19;28084,0;2;13880,0;46;Regular (2 заказа)
18;20;17967,0;3;8721,0;42;Loyal (3-4 заказа)
19;21;13332,0;1;5815,0;54;New (1 заказ)
20;22;8788,0;1;5022,0;48;New (1 заказ)
21;23;56703,0;5;29939,0;42;VIP (5+ заказов)
22;24;9842,0;1;4215,0;50;New (1 заказ)
23;25;13488,0;3;6394,0;40;Loyal (3-4 заказа)
24;26;30680,0;5;16409,0;46;VIP (5+ заказов)
25;27;13584,0;3;7678,0;44;Loyal (3-4 заказа)
26;28;23486,0;2;10430,0;44;Regular (2 заказа)
27;29;8126,0;1;3904,0;50;New (1 заказ)
28;30;7291,0;1;4046,0;48;New (1 заказ)
29;31;1775,0;1;1043,0;44;New (1 заказ)
30;32;18059,0;2;8019,0;40;Regular (2 заказа)
31;33;19298,0;2;9759,0;40;Regular (2 заказа)
32;34;27696,0;2;12056,0;46;Regular (2 заказа)
33;35;11431,0;1;4593,0;44;New (1 заказ)
34;36;19133,0;2;10608,0;48;Regular (2 заказа)
35;37;3078,0;2;1555,0;42;Regular (2 заказа)
36;38;12128,0;1;7027,0;46;New (1 заказ)
37;39;9591,0;2;5009,0;42;Regular (2 заказа)
38;40;6592,0;1;3918,0;44;New (1 заказ)
39;41;6572,0;1;3831,0;42;New (1 заказ)
40;42;31990,0;4;14105,0;42;Loyal (3-4 заказа)
41;43;28398,0;3;12575,0;40;Loyal (3-4 заказа)
42;45;47124,0;7;22938,0;42;VIP (5+ заказов)
43;46;26308,0;3;12306,0;46;Loyal (3-4 заказа)
44;47;8023,0;1;4612,0;48;New (1 заказ)
45;48;16795,0;2;7843,0;40;Regular (2 заказа)
46;49;3245,0;1;1517,0;50;New (1 заказ)
47;50;13663,0;1;6613,0;50;New (1 заказ)
48;51;34636,0;3;15836,0;42;Loyal (3-4 заказа)
49;52;22313,0;3;10555,0;54;Loyal (3-4 заказа)
50;53;5010,0;1;2866,0;40;New (1 заказ)
51;54;8111,0;1;4380,0;44;New (1 заказ)
52;55;27630,0;3;13999,0;42;Loyal (3-4 заказа)
53;56;15037,0;2;7706,0;48;Regular (2 заказа)
54;57;10247,0;1;6100,0;44;New (1 заказ)
55;58;15967,0;3;7596,0;42;Loyal (3-4 заказа)
56;59;10554,0;2;4959,0;40;Regular (2 заказа)
57;60;13511,0;2;5770,0;42;Regular (2 заказа)
58;61;2914,0;1;1618,0;54;New (1 заказ)
59;62;23892,0;2;11117,0;44;Regular (2 заказа)
60;63;21288,0;3;12089,0;40;Loyal (3-4 заказа)
61;64;21054,0;2;10744,0;46;Regular (2 заказа)
62;65;35098,0;4;18995,0;40;Loyal (3-4 заказа)
63;67;18733,0;2;10649,0;52;Regular (2 заказа)
64;68;2026,0;1;1129,0;40;New (1 заказ)
65;69;21697,0;4;12056,0;48;Loyal (3-4 заказа)
66;70;33264,0;4;16164,0;42;Loyal (3-4 заказа)
67;71;48336,0;4;25318,0;42;Loyal (3-4 заказа)
68;72;25175,0;3;13111,0;40;Loyal (3-4 заказа)
