customer_id;Recency;Frequency;Monetary;R_score;F_score;M_score;RFM_score;Segment
0;1;32631;250598262,0;4;4;4;444;Champions
1;178;1;774,0;2;1;1;211;Other
2;135;3;28547,0;3;4;4;344;Champions
3;351;1;9735,0;1;1;2;112;Other
5;83;3;25989,0;3;4;4;344;Champions
6;134;1;3887,0;3;1;1;311;Other
7;29;3;19376,0;4;4;4;444;Champions
9;105;1;10693,0;3;1;2;312;Other
10;170;2;18010,0;2;3;4;234;Other
13;221;2;7968,0;2;3;2;232;Other
14;34;2;18410,0;4;3;4;434;Champions
15;228;2;11731,0;2;3;3;233;Other
16;303;1;881,0;1;1;1;111;Other
17;351;1;5296,0;1;1;1;111;Other
18;75;2;4102,0;3;3;1;331;Other
19;20;2;28084,0;4;3;4;434;Champions
20;241;2;7643,0;1;3;2;132;Other
21;83;1;13332,0;3;1;3;313;Other
23;111;3;37155,0;3;4;4;344;Champions
26;302;1;7295,0;1;1;2;112;Other
27;147;1;4977,0;2;1;1;211;Other
28;365;1;12740,0;1;1;3;113;Other
29;55;1;8126,0;4;1;2;412;Other
32;28;1;11731,0;4;1;3;413;Other
33;63;1;10052,0;4;1;2;412;Other
34;156;1;13212,0;2;1;3;213;Other
37;353;1;850,0;1;1;1;111;Other
39;353;1;728,0;1;1;1;111;Other
42;43;2;16699,0;4;3;3;433;Other
43;262;1;13804,0;1;1;3;113;Other
45;72;4;31886,0;3;4;4;344;Champions
46;105;3;26308,0;3;4;4;344;Champions
47;245;1;8023,0;1;1;2;112;Other
48;54;1;14615,0;4;1;3;413;Other
50;137;1;13663,0;3;1;3;313;Other
51;347;1;9351,0;1;1;2;112;Other
52;10;2;9751,0;4;3;2;432;Loyal
53;332;1;5010,0;1;1;1;111;Other
54;202;1;8111,0;2;1;2;212;Other
55;360;1;13743,0;1;1;3;113;Other
56;244;1;9514,0;1;1;2;112;Other
58;126;2;7008,0;3;3;2;332;Other
60;193;1;6320,0;2;1;1;211;Other
61;321;1;2914,0;1;1;1;111;Other
63;78;2;14930,0;3;3;3;333;Other
64;75;1;14068,0;3;1;3;313;Other
65;258;1;7284,0;1;1;2;112;Other
68;243;1;2026,0;1;1;1;111;Other
69;49;4;21697,0;4;4;4;444;Champions
70;25;2;13385,0;4;3;3;433;Other
71;149;1;14747,0;2;1;3;213;Other
72;176;2;16377,0;2;3;3;233;Other
73;73;1;11647,0;3;1;3;313;Other
74;80;3;20280,0;3;4;4;344;Champions
75;132;1;9115,0;3;1;2;312;Other
76;21;3;12070,0;4;4;3;443;Champions
77;2;2;7055,0;4;3;2;432;Loyal
79;156;1;12675,0;2;1;3;213;Other
81;172;1;8311,0;2;1;2;212;Other
83;188;3;26402,0;2;4;4;244;Other
85;86;2;16037,0;3;3;3;333;Other
90;88;1;14075,0;3;1;3;313;Other
92;173;5;39702,0;2;4;4;244;Other
93;338;1;8577,0;1;1;2;112;Other
94;194;1;4039,0;2;1;1;211;Other
95;232;1;3929,0;2;1;1;211;Other
97;142;2;6267,0;2;3;1;231;Other
98;296;1;8014,0;1;1;2;112;Other
99;277;2;14473,0;1;3;3;133;Other
102;123;3;26911,0;3;4;4;344;Champions
103;28;1;13123,0;4;1;3;413;Other
104;76;1;4103,0;3;1;1;311;Other
105;56;2;22890,0;4;3;4;434;Champions
106;158;1;7170,0;2;1;2;212;Other
107;246;2;3786,0;1;3;1;131;Other
108;21;3;24908,0;4;4;4;444;Champions
111;6;2;13417,0;4;3;3;433;Other
113;206;2;25134,0;2;3;4;234;Other
114;337;1;2081,0;1;1;1;111;Other
115;231;1;6747,0;2;1;2;212;Other
117;265;1;12489,0;1;1;3;113;Other
118;20;2;23332,0;4;3;4;434;Champions
119;259;1;10177,0;1;1;2;112;Other
120;21;1;14448,0;4;1;3;413;Other
122;141;1;4267,0;2;1;1;211;Other
125;99;2;7145,0;3;3;2;332;Other
126;181;3;17618,0;2;4;4;244;Other
128;160;1;5007,0;2;1;1;211;Other
129;63;3;23886,0;4;4;4;444;Champions
132;153;4;32679,0;2;4;4;244;Other
133;72;1;14523,0;3;1;3;313;Other
134;128;1;3021,0;3;1;1;311;Other
135;78;2;22094,0;3;3;4;334;Other
137;286;1;2563,0;1;1;1;111;Other
138;78;2;10698,0;3;3;2;332;Other
139;142;1;13725,0;2;1;3;213;Other
141;89;1;9315,0;3;1;2;312;Other
142;48;1;8948,0;4;1;2;412;Other
143;187;1;6352,0;2;1;1;211;Other
144;141;5;35736,0;2;4;4;244;Other
145;23;2;5673,0;4;3;1;431;Loyal
147;13;2;17777,0;4;3;4;434;Champions
148;197;1;10373,0;2;1;2;212;Other
149;30;1;10606,0;4;1;2;412;Other
150;28;6;51007,0;4;4;4;444;Champions
151;296;1;2790,0;1;1;1;111;Other
152;23;1;2380,0;4;1;1;411;Other
154;190;2;22000,0;2;3;4;234;Other
155;178;1;13137,0;2;1;3;213;Other
156;359;1;4008,0;1;1;1;111;Other
158;81;2;19024,0;3;3;4;334;Other
159;183;1;14007,0;2;1;3;213;Other
161;47;2;10605,0;4;3;2;432;Loyal
162;92;1;5954,0;3;1;1;311;Other
163;96;2;15766,0;3;3;3;333;Other
164;66;3;28530,0;3;4;4;344;Champions
165;59;1;1136,0;4;1;1;411;Other
166;212;2;24372,0;2;3;4;234;Other
167;8;3;31700,0;4;4;4;444;Champions
170;53;2;10827,0;4;3;2;432;Loyal
171;177;1;7986,0;2;1;2;212;Other
172;147;2;16390,0;2;3;3;233;Other
173;48;1;13701,0;4;1;3;413;Other
175;85;2;17312,0;3;3;4;334;Other
176;73;2;13492,0;3;3;3;333;Other
179;93;3;24066,0;3;4;4;344;Champions
182;263;2;11492,0;1;3;2;132;Other
184;189;1;9858,0;2;1;2;212;Other
185;234;2;12128,0;2;3;3;233;Other
189;98;1;1197,0;3;1;1;311;Other
191;195;1;7304,0;2;1;2;212;Other
193;28;2;22511,0;4;3;4;434;Champions
195;168;3;25990,0;2;4;4;244;Other
196;75;2;12387,0;3;3;3;333;Other
197;236;2;10943,0;1;3;2;132;Other
199;178;6;63304,0;2;4;4;244;Other
200;212;2;15214,0;2;3;3;233;Other
201;130;2;18319,0;3;3;4;334;Other
203;58;2;10836,0;4;3;2;432;Loyal
205;48;2;14228,0;4;3;3;433;Other
206;207;1;14338,0;2;1;3;213;Other
207;113;2;17050,0;3;3;3;333;Other
208;252;1;14038,0;1;1;3;113;Other
209;172;3;26305,0;2;4;4;244;Other
210;173;1;8543,0;2;1;2;212;Other
211;212;1;12907,0;2;1;3;213;Other
215;99;3;11950,0;3;4;3;343;Other
216;315;1;13691,0;1;1;3;113;Other
217;270;1;14348,0;1;1;3;113;Other
218;339;1;12894,0;1;1;3;113;Other
221;189;1;11188,0;2;1;2;212;Other
222;25;2;23731,0;4;3;4;434;Champions
223;114;1;7131,0;3;1;2;312;Other
225;194;1;3643,0;2;1;1;211;Other
226;165;1;4929,0;2;1;1;211;Other
229;325;1;2208,0;1;1;1;111;Other
231;204;1;11994,0;2;1;3;213;Other
232;56;3;20542,0;4;4;4;444;Champions
233;9;5;26831,0;4;4;4;444;Champions
234;340;1;1009,0;1;1;1;111;Other
235;34;3;22306,0;4;4;4;444;Champions
237;22;3;29440,0;4;4;4;444;Champions
239;74;1;5320,0;3;1;1;311;Other
240;338;1;12238,0;1;1;3;113;Other
242;242;1;5458,0;1;1;1;111;Other
243;118;1;1699,0;3;1;1;311;Other
244;19;1;5320,0;4;1;1;411;Other
245;51;1;10917,0;4;1;2;412;Other
249;257;1;8463,0;1;1;2;112;Other
250;255;1;987,0;1;1;1;111;Other
252;182;2;13541,0;2;3;3;233;Other
253;6;2;15095,0;4;3;3;433;Other
255;54;2;16213,0;4;3;3;433;Other
256;268;2;20227,0;1;3;4;134;Other
257;41;1;5717,0;4;1;1;411;Other
258;207;2;23625,0;2;3;4;234;Other
261;125;1;13905,0;3;1;3;313;Other
263;294;1;10841,0;1;1;2;112;Other
264;244;3;20425,0;1;4;4;144;Other
267;95;1;5297,0;3;1;1;311;Other
268;204;1;690,0;2;1;1;211;Other
271;119;2;21560,0;3;3;4;334;Other
272;116;1;9771,0;3;1;2;312;Other
273;82;1;2066,0;3;1;1;311;Other
274;86;2;9850,0;3;3;2;332;Other
275;83;2;12171,0;3;3;3;333;Other
276;309;1;8588,0;1;1;2;112;Other
277;164;1;1465,0;2;1;1;211;Other
278;260;2;11808,0;1;3;3;133;Other
279;36;2;15496,0;4;3;3;433;Other
280;74;2;8682,0;3;3;2;332;Other
281;302;1;14674,0;1;1;3;113;Other
282;70;2;9988,0;3;3;2;332;Other
284;177;1;3366,0;2;1;1;211;Other
285;135;2;18542,0;3;3;4;334;Other
287;21;4;27297,0;4;4;4;444;Champions
288;198;1;5248,0;2;1;1;211;Other
289;24;3;8619,0;4;4;2;442;Loyal
291;85;3;34183,0;3;4;4;344;Champions
292;23;2;10237,0;4;3;2;432;Loyal
293;7;2;12453,0;4;3;3;433;Other
295;104;2;14662,0;3;3;3;333;Other
296;51;1;1615,0;4;1;1;411;Other
297;218;1;6404,0;2;1;1;211;Other
300;109;2;10109,0;3;3;2;332;Other
301;159;1;14763,0;2;1;3;213;Other
302;33;4;31374,0;4;4;4;444;Champions
305;74;2;12363,0;3;3;3;333;Other
309;12;3;28176,0;4;4;4;444;Champions
310;334;2;14647,0;1;3;3;133;Other
311;241;2;8358,0;1;3;2;132;Other
315;303;1;7270,0;1;1;2;112;Other
316;46;1;10410,0;4;1;2;412;Other
317;162;1;10166,0;2;1;2;212;Other
318;202;1;10305,0;2;1;2;212;Other
319;78;1;5219,0;3;1;1;311;Other
320;126;1;558,0;3;1;1;311;Other
322;256;1;8765,0;1;1;2;112;Other
323;267;3;24231,0;1;4;4;144;Other
324;11;2;17388,0;4;3;4;434;Champions
325;218;1;14395,0;2;1;3;213;Other
326;181;2;20811,0;2;3;4;234;Other
327;83;4;27121,0;3;4;4;344;Champions
329;113;1;9820,0;3;1;2;312;Other
330;35;1;13532,0;4;1;3;413;Other
332;263;3;19644,0;1;4;4;144;Other
333;118;2;29338,0;3;3;4;334;Other
334;282;1;13568,0;1;1;3;113;Other
335;344;1;5117,0;1;1;1;111;Other
336;193;1;11530,0;2;1;2;212;Other
337;27;3;30967,0;4;4;4;444;Champions
339;102;2;9341,0;3;3;2;332;Other
340;194;2;24275,0;2;3;4;234;Other
341;149;2;9117,0;2;3;2;232;Other
342;275;1;593,0;1;1;1;111;Other
343;122;1;12631,0;3;1;3;313;Other
345;301;1;1548,0;1;1;1;111;Other
346;264;1;11086,0;1;1;2;112;Other
347;57;2;19052,0;4;3;4;434;Champions
348;93;1;8179,0;3;1;2;312;Other
351;214;1;2050,0;2;1;1;211;Other
352;351;1;10839,0;1;1;2;112;Other
353;73;3;35582,0;3;4;4;344;Champions
354;58;2;8750,0;4;3;2;432;Loyal
355;97;4;29480,0;3;4;4;344;Champions
356;190;1;2762,0;2;1;1;211;Other
358;162;1;2274,0;2;1;1;211;Other
360;262;1;9187,0;1;1;2;112;Other
362;263;1;12812,0;1;1;3;113;Other
363;1;2;21985,0;4;3;4;434;Champions
364;125;2;10479,0;3;3;2;332;Other
366;1;2;23573,0;4;3;4;434;Champions
367;25;3;5752,0;4;4;1;441;Loyal
368;243;1;7895,0;1;1;2;112;Other
369;39;4;48239,0;4;4;4;444;Champions
370;252;1;4375,0;1;1;1;111;Other
371;147;4;21064,0;2;4;4;244;Other
372;15;2;15852,0;4;3;3;433;Other
373;237;1;5457,0;1;1;1;111;Other
375;32;1;11224,0;4;1;2;412;Other
377;68;2;16872,0;3;3;3;333;Other
379;247;1;8618,0;1;1;2;112;Other
381;42;2;12803,0;4;3;3;433;Other
382;298;1;14904,0;1;1;3;113;Other
383;24;2;19670,0;4;3;4;434;Champions
384;140;1;14534,0;2;1;3;213;Other
385;62;2;25754,0;4;3;4;434;Champions
386;57;1;14192,0;4;1;3;413;Other
387;76;1;12385,0;3;1;3;313;Other
388;118;1;8435,0;3;1;2;312;Other
389;310;1;8335,0;1;1;2;112;Other
390;37;1;8443,0;4;1;2;412;Other
391;159;1;6251,0;2;1;1;211;Other
392;362;1;3338,0;1;1;1;111;Other
393;82;2;14817,0;3;3;3;333;Other
394;199;1;4900,0;2;1;1;211;Other
395;237;2;11880,0;1;3;3;133;Other
396;292;1;7753,0;1;1;2;112;Other
399;267;1;1680,0;1;1;1;111;Other
400;56;2;12718,0;4;3;3;433;Other
402;300;1;794,0;1;1;1;111;Other
403;162;2;18529,0;2;3;4;234;Other
407;125;2;20254,0;3;3;4;334;Other
408;357;1;6287,0;1;1;1;111;Other
409;163;2;13308,0;2;3;3;233;Other
410;140;1;5209,0;2;1;1;211;Other
411;69;1;935,0;3;1;1;311;Other
412;7;3;28803,0;4;4;4;444;Champions
413;303;1;7816,0;1;1;2;112;Other
414;185;2;19750,0;2;3;4;234;Other
416;240;2;25033,0;1;3;4;134;Other
418;184;2;21799,0;2;3;4;234;Other
420;353;1;12484,0;1;1;3;113;Other
422;155;2;18373,0;2;3;4;234;Other
423;42;2;25965,0;4;3;4;434;Champions
425;4;2;22478,0;4;3;4;434;Champions
427;140;5;43304,0;2;4;4;244;Other
428;15;1;5753,0;4;1;1;411;Other
429;160;2;17521,0;2;3;4;234;Other
435;310;1;6059,0;1;1;1;111;Other
436;104;1;10808,0;3;1;2;312;Other
437;4;4;31047,0;4;4;4;444;Champions
439;200;2;15451,0;2;3;3;233;Other
440;149;1;3625,0;2;1;1;211;Other
441;29;3;25840,0;4;4;4;444;Champions
442;347;1;2815,0;1;1;1;111;Other
443;321;1;9254,0;1;1;2;112;Other
444;296;1;634,0;1;1;1;111;Other
445;324;1;8073,0;1;1;2;112;Other
446;50;1;11397,0;4;1;2;412;Other
447;28;2;3355,0;4;3;1;431;Loyal
448;170;1;7998,0;2;1;2;212;Other
449;95;3;28813,0;3;4;4;344;Champions
450;226;1;12571,0;2;1;3;213;Other
453;263;1;10052,0;1;1;2;112;Other
454;109;4;32156,0;3;4;4;344;Champions
455;11;3;35969,0;4;4;4;444;Champions
456;57;2;13491,0;4;3;3;433;Other
457;121;2;7113,0;3;3;2;332;Other
460;70;2;4728,0;3;3;1;331;Other
461;285;2;16542,0;1;3;3;133;Other
463;247;1;2030,0;1;1;1;111;Other
465;290;1;5920,0;1;1;1;111;Other
466;57;1;10354,0;4;1;2;412;Other
467;20;1;12655,0;4;1;3;413;Other
470;137;2;15552,0;3;3;3;333;Other
471;83;3;17554,0;3;4;4;344;Champions
472;52;3;19711,0;4;4;4;444;Champions
473;124;1;1207,0;3;1;1;311;Other
474;17;2;7037,0;4;3;2;432;Loyal
475;18;3;23388,0;4;4;4;444;Champions
476;275;1;11024,0;1;1;2;112;Other
478;161;1;4590,0;2;1;1;211;Other
480;365;1;1523,0;1;1;1;111;Other
481;66;2;17514,0;3;3;4;334;Other
482;76;1;6677,0;3;1;2;312;Other
483;21;2;18781,0;4;3;4;434;Champions
485;60;1;13264,0;4;1;3;413;Other
486;97;1;3467,0;3;1;1;311;Other
487;279;1;9133,0;1;1;2;112;Other
488;229;2;22987,0;2;3;4;234;Other
490;41;2;3872,0;4;3;1;431;Loyal
491;250;1;1592,0;1;1;1;111;Other
492;194;2;18672,0;2;3;4;234;Other
493;130;1;10039,0;3;1;2;312;Other
494;85;3;19704,0;3;4;4;344;Champions
495;175;2;10775,0;2;3;2;232;Other
496;29;3;10023,0;4;4;2;442;Loyal
497;318;1;6243,0;1;1;1;111;Other
498;118;1;3934,0;3;1;1;311;Other
499;208;2;23058,0;2;3;4;234;Other
502;176;2;21748,0;2;3;4;234;Other
503;18;3;18894,0;4;4;4;444;Champions
504;323;1;5036,0;1;1;1;111;Other
505;106;1;5979,0;3;1;1;311;Other
506;21;3;34655,0;4;4;4;444;Champions
507;182;1;3010,0;2;1;1;211;Other
508;98;1;5428,0;3;1;1;311;Other
509;44;1;13094,0;4;1;3;413;Other
510;217;2;5445,0;2;3;1;231;Other
511;96;1;4438,0;3;1;1;311;Other
513;358;1;12734,0;1;1;3;113;Other
515;345;1;10830,0;1;1;2;112;Other
516;268;1;5072,0;1;1;1;111;Other
517;244;1;6156,0;1;1;1;111;Other
519;194;2;21791,0;2;3;4;234;Other
520;294;1;8937,0;1;1;2;112;Other
523;196;1;7082,0;2;1;2;212;Other
525;224;1;9601,0;2;1;2;212;Other
526;146;2;15633,0;2;3;3;233;Other
527;153;1;12433,0;2;1;3;213;Other
528;104;2;1242,0;3;3;1;331;Other
529;272;3;18532,0;1;4;4;144;Other
531;106;1;5296,0;3;1;1;311;Other
532;134;1;4630,0;3;1;1;311;Other
533;33;2;13995,0;4;3;3;433;Other
534;117;3;26737,0;3;4;4;344;Champions
535;224;2;18825,0;2;3;4;234;Other
537;299;1;7855,0;1;1;2;112;Other
538;146;1;13750,0;2;1;3;213;Other
541;260;1;6318,0;1;1;1;111;Other
543;6;2;19534,0;4;3;4;434;Champions
544;151;1;7622,0;2;1;2;212;Other
546;49;3;21622,0;4;4;4;444;Champions
547;248;1;4439,0;1;1;1;111;Other
548;230;3;30911,0;2;4;4;244;Other
549;54;3;17481,0;4;4;4;444;Champions
551;254;1;855,0;1;1;1;111;Other
553;225;1;11328,0;2;1;2;212;Other
554;220;1;13479,0;2;1;3;213;Other
555;227;1;7127,0;2;1;2;212;Other
557;264;1;4399,0;1;1;1;111;Other
558;41;3;31156,0;4;4;4;444;Champions
559;149;3;27379,0;2;4;4;244;Other
560;65;2;15952,0;3;3;3;333;Other
561;98;2;19857,0;3;3;4;334;Other
562;295;1;9230,0;1;1;2;112;Other
563;290;1;10099,0;1;1;2;112;Other
565;352;1;5704,0;1;1;1;111;Other
567;311;1;1813,0;1;1;1;111;Other
568;187;1;1554,0;2;1;1;211;Other
569;311;2;18491,0;1;3;4;134;Other
570;138;1;2261,0;3;1;1;311;Other
571;141;2;16101,0;2;3;3;233;Other
572;58;1;13635,0;4;1;3;413;Other
573;171;1;13961,0;2;1;3;213;Other
575;156;1;11388,0;2;1;2;212;Other
576;276;1;13660,0;1;1;3;113;Other
577;42;2;16371,0;4;3;3;433;Other
578;156;1;12485,0;2;1;3;213;Other
