article_id;sku;product_type_name;colour_group_name;size;price;cost;margin;warehouse;sold_count;current_stock;stock_value
1;QAH27680;Coat;Purple;50;12050,0;6151,0;5899,0;Москва (Центральный);4;35;215285,0
2;KAF50165;Jacket;Red;44;2762,0;1216,0;1546,0;Москва (Центральный);7;1;1216,0
3;FPV08631;Sweater;Navy Blue;44;5339,0;2984,0;2355,0;Москва (Центральный);4;22;65648,0
4;YIC08687;Skirt;Navy Blue;50;1318,0;622,0;696,0;Москва (Центральный);7;1;622,0
5;NZJ58685;Skirt;Yellow;40;511,0;302,0;209,0;Москва (Центральный);4;28;8456,0
6;SBF20212;Skirt;Beige;44;602,0;360,0;242,0;Москва (Центральный);8;0;0,0
7;QJJ22966;Blouse;Blue;40;6046,0;3526,0;2520,0;Москва (Центральный);4;30;105780,0
8;ESE39656;Blouse;Grey;40;12969,0;5408,0;7561,0;Москва (Центральный);10;2;10816,0
9;VUF03229;Coat;Beige;52;692,0;323,0;369,0;Москва (Центральный);2;15;4845,0
10;WIR39422;Trousers;Brown;42;6089,0;3587,0;2502,0;Москва (Центральный);5;0;0,0
11;OGP83295;Shirt;Yellow;46;3995,0;2241,0;1754,0;Москва (Центральный);7;2;4482,0
12;CBC67403;Sweater;Black;42;999,0;582,0;417,0;Москва (Центральный);4;37;21534,0
13;ZNZ80765;Sweater;Pink;42;11453,0;5893,0;5560,0;Москва (Центральный);3;24;141432,0
14;GQC44982;Shirt;White;46;3180,0;1578,0;1602,0;Москва (Центральный);9;1;1578,0
15;NEX82661;Trousers;Blue;52;6230,0;2625,0;3605,0;Москва (Центральный);12;4;10500,0
16;TOU50309;Sweater;Yellow;50;8771,0;4981,0;3790,0;Москва (Центральный);7;2;9962,0
17;WVH08904;Sweater;White;48;12746,0;6998,0;5748,0;Москва (Центральный);7;2;13996,0
18;BTT14528;Sweater;Yellow;46;5673,0;2336,0;3337,0;Москва (Центральный);7;1;2336,0
19;LFO72396;Jeans;Black;52;4796,0;2119,0;2677,0;Москва (Центральный);3;16;33904,0
20;LND23522;Jeans;Yellow;54;11698,0;5983,0;5715,0;Москва (Центральный);10;2;11966,0
21;BQF98026;Blouse;Red;40;10749,0;5771,0;4978,0;Москва (Центральный);5;1;5771,0
22;FDY54781;Jacket;Brown;46;13931,0;5956,0;7975,0;Москва (Центральный);12;4;23824,0
23;CLL47690;Coat;Yellow;42;12826,0;5758,0;7068,0;Москва (Центральный);10;2;11516,0
24;KIW21442;Coat;Navy Blue;46;5009,0;2197,0;2812,0;Москва (Центральный);8;2;4394,0
25;GYL85098;Sweater;Red;44;4483,0;1990,0;2493,0;Москва (Центральный);6;1;1990,0
26;ZYW14240;Jacket;Red;48;14590,0;8523,0;6067,0;Москва (Центральный);11;1;8523,0
27;JZG74499;Coat;Grey;42;11679,0;6344,0;5335,0;Москва (Центральный);7;0;0,0
28;OSE29557;Blouse;Grey;46;956,0;523,0;433,0;Москва (Центральный);5;1;523,0
29;BPN81901;Shirt;Grey;48;13660,0;7633,0;6027,0;Москва (Центральный);9;1;7633,0
30;PRG18256;Shirt;Grey;44;14171,0;6679,0;7492,0;Москва (Центральный);8;2;13358,0
31;KPN92723;Skirt;Brown;50;13267,0;7342,0;5925,0;Москва (Центральный);13;3;22026,0
32;RHI70499;Jeans;Yellow;46;2030,0;1209,0;821,0;Москва (Центральный);5;0;0,0
33;BFG98831;Shirt;Purple;42;13442,0;7254,0;6188,0;Москва (Центральный);3;19;137826,0
34;VSP96082;Coat;Grey;42;13493,0;6522,0;6971,0;Москва (Центральный);7;1;6522,0
35;RYD11526;Dress;Beige;48;3805,0;2067,0;1738,0;Москва (Центральный);9;1;2067,0
36;SFQ24980;Jeans;Pink;44;4919,0;2854,0;2065,0;Москва (Центральный);9;1;2854,0
37;LHA76275;Jeans;Black;42;7530,0;3206,0;4324,0;Москва (Центральный);9;1;3206,0
38;LAB89585;Sweater;Pink;40;14172,0;6421,0;7751,0;Москва (Центральный);9;1;6421,0
39;DDI87882;Shirt;Black;46;5773,0;3371,0;2402,0;Москва (Центральный);9;2;6742,0
40;GCU84619;Coat;Black;42;7710,0;4543,0;3167,0;Москва (Центральный);5;1;4543,0
41;WZV80739;Sweater;Black;42;1035,0;514,0;521,0;Москва (Центральный);6;1;514,0
42;UWV27188;Skirt;Black;44;979,0;465,0;514,0;Москва (Центральный);10;3;1395,0
43;FVL37201;Trousers;Brown;50;8199,0;3743,0;4456,0;Москва (Центральный);9;1;3743,0
44;IWZ26395;Coat;Purple;46;10246,0;5120,0;5126,0;Москва (Центральный);6;1;5120,0
45;YCZ19214;Dress;Navy Blue;46;11059,0;6491,0;4568,0;Москва (Центральный);9;1;6491,0
46;SIP53527;Trousers;Purple;54;9686,0;4165,0;5521,0;Москва (Центральный);6;1;4165,0
