article_id;sku;product_type_name;colour_group_name;season;size;price;cost;margin;margin_percent
1;QAH27680;Coat;Purple;Winter;50;12050,0;6151,0;5899,0;49,0
2;KAF50165;Jacket;Red;Autumn;44;2762,0;1216,0;1546,0;56,0
3;FPV08631;Sweater;Navy Blue;Winter;44;5339,0;2984,0;2355,0;44,1
4;YIC08687;Skirt;Navy Blue;Winter;50;1318,0;622,0;696,0;52,8
5;NZJ58685;Skirt;Yellow;Spring;40;511,0;302,0;209,0;40,9
6;SBF20212;Skirt;Beige;Spring;44;602,0;360,0;242,0;40,2
7;QJJ22966;Blouse;Blue;Winter;40;6046,0;3526,0;2520,0;41,7
8;ESE39656;Blouse;Grey;Spring;40;12969,0;5408,0;7561,0;58,3
9;VUF03229;Coat;Beige;Winter;52;692,0;323,0;369,0;53,3
10;WIR39422;Trousers;Brown;Spring;42;6089,0;3587,0;2502,0;41,1
11;OGP83295;Shirt;Yellow;Autumn;46;3995,0;2241,0;1754,0;43,9
12;CBC67403;Sweater;Black;Winter;42;999,0;582,0;417,0;41,7
13;ZNZ80765;Sweater;Pink;Summer;42;11453,0;5893,0;5560,0;48,5
14;GQC44982;Shirt;White;Summer;46;3180,0;1578,0;1602,0;50,4
15;NEX82661;Trousers;Blue;Summer;52;6230,0;2625,0;3605,0;57,9
16;TOU50309;Sweater;Yellow;Spring;50;8771,0;4981,0;3790,0;43,2
17;WVH08904;Sweater;White;Autumn;48;12746,0;6998,0;5748,0;45,1
18;BTT14528;Sweater;Yellow;Winter;46;5673,0;2336,0;3337,0;58,8
19;LFO72396;Jeans;Black;Spring;52;4796,0;2119,0;2677,0;55,8
20;LND23522;Jeans;Yellow;Winter;54;11698,0;5983,0;5715,0;48,9
21;BQF98026;Blouse;Red;Autumn;40;10749,0;5771,0;4978,0;46,3
22;FDY54781;Jacket;Brown;Spring;46;13931,0;5956,0;7975,0;57,2
23;CLL47690;Coat;Yellow;Summer;42;12826,0;5758,0;7068,0;55,1
24;KIW21442;Coat;Navy Blue;Spring;46;5009,0;2197,0;2812,0;56,1
25;GYL85098;Sweater;Red;Spring;44;4483,0;1990,0;2493,0;55,6
26;ZYW14240;Jacket;Red;Spring;48;14590,0;8523,0;6067,0;41,6
27;JZG74499;Coat;Grey;Autumn;42;11679,0;6344,0;5335,0;45,7
28;OSE29557;Blouse;Grey;Spring;46;956,0;523,0;433,0;45,3
29;BPN81901;Shirt;Grey;Autumn;48;13660,0;7633,0;6027,0;44,1
30;PRG18256;Shirt;Grey;Autumn;44;14171,0;6679,0;7492,0;52,9
31;KPN92723;Skirt;Brown;Spring;50;13267,0;7342,0;5925,0;44,7
32;RHI70499;Jeans;Yellow;Winter;46;2030,0;1209,0;821,0;40,4
33;BFG98831;Shirt;Purple;Winter;42;13442,0;7254,0;6188,0;46,0
34;VSP96082;Coat;Grey;Summer;42;13493,0;6522,0;6971,0;51,7
